,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FIPS
62,CALIFORNIA,Inyo,2018,365,192,136,26,7,2,2,500,101,49,0,0,291,44,30,
63,CALIFORNIA,Kern,2018,365,45,190,103,27,0,0,190,142,84,0,0,226,126,13,
64,CALIFORNIA,Kings,2018,365,68,239,49,9,0,0,190,114,70,0,0,161,160,44,
65,CALIFORNIA,Lake,2018,357,344,10,1,1,1,0,233,43,33,0,0,343,12,2,
66,CALIFORNIA,Los Angeles,2018,365,7,250,89,18,1,0,201,130,78,0,22,153,189,1,
67,CALIFORNIA,Madera,2018,365,122,208,30,5,0,0,169,100,58,0,0,181,160,24,
68,CALIFORNIA,Marin,2018,365,235,117,3,9,1,0,243,63,43,0,11,85,269,0,
69,CALIFORNIA,Mariposa,2018,365,156,169,10,13,15,2,352,108,53,0,0,226,139,0,
70,CALIFORNIA,Mendocino,2018,364,217,126,13,6,1,1,376,69,46,0,0,81,282,1,
71,CALIFORNIA,Merced,2018,365,110,214,32,9,0,0,178,101,56,0,1,139,224,1,
72,CALIFORNIA,Mono,2018,365,252,84,14,10,3,2,500,85,27,0,0,0,234,131,
73,CALIFORNIA,Monterey,2018,365,258,100,5,2,0,0,157,57,42,0,0,149,189,27,
74,CALIFORNIA,Napa,2018,364,210,142,4,8,0,0,195,65,46,1,1,99,262,1,
75,CALIFORNIA,Nevada,2018,363,231,104,19,7,2,0,218,87,45,0,0,311,52,0,
76,CALIFORNIA,Orange,2018,365,114,233,15,3,0,0,160,86,54,0,17,114,231,3,
77,CALIFORNIA,Placer,2018,365,213,127,16,7,2,0,248,84,46,0,12,176,174,3,
78,CALIFORNIA,Plumas,2018,350,186,154,8,2,0,0,162,85,47,0,0,0,350,0,
79,CALIFORNIA,Riverside,2018,365,32,193,102,32,6,0,296,153,87,0,1,210,117,37,
80,CALIFORNIA,Sacramento,2018,365,104,226,22,6,5,2,376,100,58,0,1,131,229,4,
81,CALIFORNIA,San Benito,2018,365,270,84,11,0,0,0,143,63,42,0,0,286,78,1,
82,CALIFORNIA,San Bernardino,2018,365,14,197,96,51,7,0,221,164,89,0,5,197,159,4,
83,CALIFORNIA,San Diego,2018,365,28,302,35,0,0,0,143,100,67,0,0,162,203,0,
84,CALIFORNIA,San Francisco,2018,365,222,129,2,10,2,0,252,66,44,1,23,86,254,1,
85,CALIFORNIA,San Joaquin,2018,365,91,241,20,8,4,1,365,99,59,0,0,85,276,4,
86,CALIFORNIA,San Luis Obispo,2018,365,147,209,9,0,0,0,133,77,53,0,0,172,168,25,
87,CALIFORNIA,San Mateo,2018,365,236,116,3,10,0,0,197,61,42,0,13,90,262,0,
88,CALIFORNIA,Santa Barbara,2018,365,173,190,2,0,0,0,114,67,51,0,0,167,188,10,
89,CALIFORNIA,Santa Clara,2018,365,154,194,6,9,2,0,214,72,53,0,2,94,269,0,
90,CALIFORNIA,Santa Cruz,2018,365,273,82,5,5,0,0,177,56,41,0,0,136,229,0,
91,CALIFORNIA,Shasta,2018,365,272,72,15,5,1,0,206,84,43,0,0,341,23,1,
92,CALIFORNIA,Siskiyou,2018,365,247,78,16,21,3,0,219,119,42,0,0,214,151,0,
93,CALIFORNIA,Solano,2018,365,184,166,3,11,1,0,272,69,50,0,1,120,244,0,
94,CALIFORNIA,Sonoma,2018,365,304,48,3,8,2,0,250,57,39,0,2,232,130,1,
95,CALIFORNIA,Stanislaus,2018,365,109,209,32,11,4,0,265,108,59,0,1,153,206,5,
96,CALIFORNIA,Sutter,2018,365,94,236,22,6,6,1,420,100,58,0,0,101,263,1,
97,CALIFORNIA,Tehama,2018,365,208,128,16,12,1,0,206,96,48,0,0,224,141,0,
98,CALIFORNIA,Trinity,2018,291,117,155,12,5,2,0,209,82,54,0,0,0,291,0,
99,CALIFORNIA,Tulare,2018,365,50,194,95,26,0,0,180,140,79,0,0,207,152,6,
100,CALIFORNIA,Tuolumne,2018,348,254,73,20,1,0,0,154,80,43,0,0,348,0,0,
101,CALIFORNIA,Ventura,2018,365,94,254,16,1,0,0,166,88,57,0,0,116,238,11,
102,CALIFORNIA,Yolo,2018,365,216,135,5,7,2,0,260,71,45,0,0,198,167,0,
103,COLORADO,Adams,2018,365,138,224,3,0,0,0,130,74,54,0,32,120,176,37,
104,COLORADO,Alamosa,2018,360,348,11,0,0,1,0,235,37,19,0,0,0,50,310,
105,COLORADO,Arapahoe,2018,365,227,123,14,1,0,0,156,87,46,0,0,350,15,0,
106,COLORADO,Archuleta,2018,365,333,32,0,0,0,0,97,50,38,0,0,331,0,34,
107,COLORADO,Boulder,2018,362,198,135,28,1,0,0,159,96,49,0,0,265,97,0,
108,COLORADO,Chaffee,2018,164,67,91,5,1,0,0,161,87,58,0,0,164,0,0,
109,COLORADO,Clear Creek,2018,291,145,118,25,3,0,0,164,100,51,0,0,291,0,0,
110,COLORADO,Delta,2018,297,264,33,0,0,0,0,85,52,36,0,1,199,58,39,
111,COLORADO,Denver,2018,365,124,231,10,0,0,0,150,80,54,0,98,119,148,0,
112,COLORADO,Douglas,2018,364,194,143,24,3,0,0,156,97,49,0,0,283,81,0,
113,COLORADO,El Paso,2018,365,217,140,8,0,0,0,119,84,47,0,0,301,64,0,
114,COLORADO,Fremont,2018,20,20,0,0,0,0,0,36,20,15,0,0,0,0,20,
115,COLORADO,Garfield,2018,365,214,135,15,1,0,0,151,87,48,0,0,357,7,1,
116,COLORADO,Grand,2018,166,110,54,1,1,0,0,151,67,47,0,0,166,0,0,
117,COLORADO,Gunnison,2018,365,235,125,4,1,0,0,156,77,47,0,0,354,0,11,
118,COLORADO,Jackson,2018,116,113,3,0,0,0,0,64,27,9,0,0,0,116,0,
119,COLORADO,Jefferson,2018,365,229,99,35,2,0,0,151,101,46,0,0,365,0,0,
120,COLORADO,La Plata,2018,365,236,109,10,7,3,0,243,80,45,0,0,305,57,3,
121,COLORADO,Larimer,2018,365,160,177,25,3,0,0,169,97,53,0,0,287,78,0,
122,COLORADO,Mesa,2018,365,193,167,5,0,0,0,150,80,49,1,0,274,89,1,
123,COLORADO,Moffat,2018,331,262,68,1,0,0,0,108,61,42,0,0,331,0,0,
124,COLORADO,Montezuma,2018,359,259,96,4,0,0,0,115,71,44,0,0,356,3,0,
125,COLORADO,Montrose,2018,326,257,68,1,0,0,0,122,64,42,0,0,326,0,0,
126,COLORADO,Park,2018,324,161,145,17,1,0,0,174,90,51,0,0,323,1,0,
127,COLORADO,Pitkin,2018,123,120,3,0,0,0,0,53,33,15,0,0,0,43,80,
128,COLORADO,Prowers,2018,359,353,5,1,0,0,0,103,31,16,0,0,0,0,359,
129,COLORADO,Pueblo,2018,123,108,14,1,0,0,0,101,51,29,0,0,0,105,18,
130,COLORADO,Rio Blanco,2018,365,215,148,2,0,0,0,108,71,47,0,0,238,127,0,
131,COLORADO,Routt,2018,355,354,1,0,0,0,0,51,30,15,0,0,0,0,355,
132,COLORADO,San Juan,2018,118,109,9,0,0,0,0,100,33,10,0,0,0,118,0,
133,COLORADO,San Miguel,2018,238,160,76,2,0,0,0,101,71,46,0,0,181,0,57,
134,COLORADO,Teller,2018,160,63,85,12,0,0,0,133,97,58,0,0,160,0,0,
135,COLORADO,Weld,2018,365,138,217,10,0,0,0,133,87,54,0,0,208,157,0,
136,CONNECTICUT,Fairfield,2018,365,218,126,14,7,0,0,185,80,46,0,11,157,197,0,
137,CONNECTICUT,Hartford,2018,365,240,123,2,0,0,0,143,64,42,0,11,130,224,0,
138,CONNECTICUT,Litchfield,2018,363,308,51,4,0,0,0,133,57,36,1,0,299,63,0,
139,CONNECTICUT,Middlesex,2018,208,168,32,8,0,0,0,126,67,40,0,0,208,0,0,
140,CONNECTICUT,New Haven,2018,365,220,131,12,2,0,0,156,71,44,0,7,143,215,0,
141,CONNECTICUT,New London,2018,315,260,49,6,0,0,0,140,56,39,0,0,167,148,0,
142,CONNECTICUT,Tolland,2018,213,189,20,4,0,0,0,140,54,38,0,0,213,0,0,
143,CONNECTICUT,Windham,2018,358,332,20,6,0,0,0,129,47,34,0,0,358,0,0,
144,COUNTRY OF MEXICO,Baja California Norte,2018,152,11,102,28,10,0,1,487,139,76,0,0,0,99,53,
145,COUNTRY OF MEXICO,Sonora,2018,362,317,42,3,0,0,0,119,51,38,0,0,362,0,0,
146,DELAWARE,Kent,2018,365,267,96,2,0,0,0,133,59,42,0,0,214,151,0,
147,DELAWARE,New Castle,2018,365,212,147,6,0,0,0,150,71,48,0,2,149,214,0,
148,DELAWARE,Sussex,2018,365,256,105,4,0,0,0,140,61,42,0,0,236,129,0,
149,DISTRICT OF COLUMBIA,District Of Columbia,2018,365,167,192,5,1,0,0,164,74,52,0,5,114,246,0,
150,FLORIDA,Alachua,2018,364,317,47,0,0,0,0,90,52,37,0,0,205,159,0,
151,FLORIDA,Baker,2018,360,341,19,0,0,0,0,87,46,31,0,0,360,0,0,
152,FLORIDA,Bay,2018,323,209,113,1,0,0,0,126,58,44,0,0,90,233,0,
153,FLORIDA,Brevard,2018,365,288,76,1,0,0,0,129,55,41,0,0,167,198,0,
154,FLORIDA,Broward,2018,365,191,174,0,0,0,0,100,61,49,0,4,63,298,0,
155,FLORIDA,Citrus,2018,350,247,103,0,0,0,0,73,56,43,0,0,0,350,0,
156,FLORIDA,Collier,2018,365,262,103,0,0,0,0,80,58,42,0,0,118,247,0,
157,FLORIDA,Columbia,2018,359,267,91,1,0,0,0,111,58,41,0,0,131,228,0,
158,FLORIDA,Duval,2018,365,177,183,4,1,0,0,156,65,51,0,0,55,299,11,
